id,candidate,reference,P_rust,R_rust,F1_rust
S0001,The price is $29.99 (30% off)!,Cost: twenty-nine dollars and ninety-nine cents with 30 percent discount.,-0.09797078,-0.38029507,-0.24222091
S0002,Alice gave Bob a book.,Bob was given a book by Alice.,0.79535246,0.6266883,0.71005964
S0003,Multiple   spaces   between   words,Multiple spaces between words,-0.03426992,0.7570982,0.33921784
S0004,"Line
break
in
text",Line break in text,0.13627823,0.39191064,0.26174602
S0005,"Hello, world!",Hello world,0.2540772,0.69374675,0.4671679
S0006,I like this movie.,I don't like this movie.,0.9114449,0.71307147,0.8109469
S0007,The transformer architecture uses self-attention mechanisms.,Self-attention is a key component of transformers.,0.49851492,0.40965906,0.453811
S0008,   Leading and trailing spaces   ,Leading and trailing spaces,1.0,1.0,1.0
S0009,The weather is beautiful today.,Today's weather is lovely.,0.7438545,0.7438545,0.7438545
S0010,I love programming in Rust.,The rain in Spain stays mainly in the plain.,0.236884,0.07839937,0.15672538
S0011,[Empty candidate],This is some text.,-0.15145312,-0.2317447,-0.19184673
S0012,OK,Okay,0.2557319,0.2557319,0.2557319
S0013,The cat sat on the mat.,A feline was resting on the rug.,0.6578106,0.51674205,0.58659273
S0014,I love 🍕 and 🍔!,I enjoy pizza and hamburgers!,0.0012851679,0.14462197,0.072194524
S0015,THIS IS UPPERCASE,this is uppercase,-0.17764844,-0.0017422896,-0.09086728
S0016,"def hello(): print('Hello, world!')","function hello() { console.log('Hello, world!'); }",0.46296993,0.15354295,0.30483696
S0017,"The development of artificial intelligence has revolutionized many industries, from healthcare to finance, enabling more efficient processes and better decision-making through advanced algorithms and machine learning techniques.",AI has transformed numerous sectors including medical care and banking by implementing sophisticated computational methods that enhance operational efficiency and improve the quality of decisions.,0.3800507,0.453689,0.4166791
S0018,She completed the assignment yesterday.,"Yesterday, she finished the task.",0.71713513,0.6476746,0.6822412
S0019,The weather is nice today.,Today the weather seems pleasant.,0.67380714,0.67380714,0.67380714
S0020,Yes.,No.,0.4690432,0.4690432,0.4690432
S0021,The quick brown fox jumps over the lazy dog.,The quick brown fox jumps over the lazy dog.,1.0,1.0,1.0
